UserId	CheckinTime	VenueId	VenueType	X	Y
0	2025-07-01T07:05:00	9	Workplace	486971.8556855318	4422510.6889146175
1	2025-07-01T07:55:00	9	Workplace	486971.8556855318	4422510.6889146175
2	2025-07-01T08:00:00	9	Workplace	486971.8556855318	4422510.6889146175
3	2025-07-01T08:10:00	11	Restaurant	483834.4909161149	4422719.660534676
3	2025-07-01T08:35:00	0	Apartment	483386.13406596635	4420756.4680047715
4	2025-07-01T09:55:00	11	Restaurant	483834.4909161149	4422719.660534676
4	2025-07-01T10:25:00	0	Apartment	483427.58001767774	4420738.353228444
2	2025-07-01T11:00:00	11	Restaurant	483834.4909161149	4422719.660534676
2	2025-07-01T11:25:00	9	Workplace	486971.8556855318	4422510.6889146175
0	2025-07-01T13:10:00	11	Restaurant	483834.4909161149	4422719.660534676
1	2025-07-01T13:10:00	11	Restaurant	483834.4909161149	4422719.660534676
0	2025-07-01T13:35:00	9	Workplace	486971.8556855318	4422510.6889146175
1	2025-07-01T13:35:00	9	Workplace	486971.8556855318	4422510.6889146175
0	2025-07-01T13:50:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-01T14:00:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-01T14:40:00	2	Apartment	487038.28498915996	4420353.145806744
2	2025-07-01T14:45:00	1	Apartment	485057.58590894594	4420442.765882327
1	2025-07-01T14:50:00	10	Pub	486194.0125563806	4421348.554417097
2	2025-07-01T14:55:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-01T15:05:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-01T15:15:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-01T16:40:00	3	Apartment	485547.33905596414	4421526.153604189
3	2025-07-01T16:40:00	11	Restaurant	483834.4909161149	4422719.660534676
0	2025-07-01T16:50:00	10	Pub	486194.0125563806	4421348.554417097
2	2025-07-01T17:05:00	1	Apartment	485057.58590894594	4420442.765882327
3	2025-07-01T17:05:00	0	Apartment	483386.13406596635	4420756.4680047715
1	2025-07-01T17:10:00	2	Apartment	487038.28498915996	4420353.145806744
2	2025-07-01T17:15:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-01T17:20:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-01T18:05:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-01T18:15:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-01T19:00:00	11	Restaurant	483834.4909161149	4422719.660534676
2	2025-07-01T19:10:00	1	Apartment	485057.58590894594	4420442.765882327
2	2025-07-01T19:20:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-01T19:25:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-01T19:40:00	3	Apartment	485547.33905596414	4421526.153604189
1	2025-07-01T19:50:00	2	Apartment	487038.28498915996	4420353.145806744
0	2025-07-01T19:55:00	11	Restaurant	483834.4909161149	4422719.660534676
1	2025-07-01T20:00:00	10	Pub	486194.0125563806	4421348.554417097
4	2025-07-01T20:10:00	11	Restaurant	483834.4909161149	4422719.660534676
0	2025-07-01T20:25:00	3	Apartment	485547.33905596414	4421526.153604189
2	2025-07-01T20:30:00	1	Apartment	485057.58590894594	4420442.765882327
0	2025-07-01T20:35:00	10	Pub	486194.0125563806	4421348.554417097
2	2025-07-01T20:40:00	10	Pub	486194.0125563806	4421348.554417097
4	2025-07-01T20:40:00	0	Apartment	483427.58001767774	4420738.353228444
1	2025-07-01T22:00:00	2	Apartment	487038.28498915996	4420353.145806744
1	2025-07-01T22:10:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-01T22:20:00	3	Apartment	485547.33905596414	4421526.153604189
2	2025-07-01T22:20:00	11	Restaurant	483834.4909161149	4422719.660534676
0	2025-07-01T22:30:00	10	Pub	486194.0125563806	4421348.554417097
2	2025-07-01T22:45:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-01T23:10:00	2	Apartment	487038.28498915996	4420353.145806744
2	2025-07-01T23:10:00	1	Apartment	485057.58590894594	4420442.765882327
2	2025-07-01T23:20:00	10	Pub	486194.0125563806	4421348.554417097
2	2025-07-01T23:30:00	1	Apartment	485057.58590894594	4420442.765882327
0	2025-07-01T23:45:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-02T07:05:00	9	Workplace	486971.8556855318	4422510.6889146175
1	2025-07-02T07:55:00	9	Workplace	486971.8556855318	4422510.6889146175
2	2025-07-02T08:00:00	9	Workplace	486971.8556855318	4422510.6889146175
3	2025-07-02T08:05:00	11	Restaurant	483834.4909161149	4422719.660534676
4	2025-07-02T08:05:00	11	Restaurant	483834.4909161149	4422719.660534676
3	2025-07-02T08:30:00	0	Apartment	483386.13406596635	4420756.4680047715
4	2025-07-02T08:35:00	0	Apartment	483427.58001767774	4420738.353228444
2	2025-07-02T09:40:00	11	Restaurant	483834.4909161149	4422719.660534676
2	2025-07-02T10:05:00	9	Workplace	486971.8556855318	4422510.6889146175
0	2025-07-02T13:10:00	11	Restaurant	483834.4909161149	4422719.660534676
1	2025-07-02T13:10:00	11	Restaurant	483834.4909161149	4422719.660534676
0	2025-07-02T13:35:00	9	Workplace	486971.8556855318	4422510.6889146175
1	2025-07-02T13:35:00	9	Workplace	486971.8556855318	4422510.6889146175
0	2025-07-02T13:50:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-02T14:00:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-02T14:40:00	2	Apartment	487038.28498915996	4420353.145806744
2	2025-07-02T14:45:00	1	Apartment	485057.58590894594	4420442.765882327
1	2025-07-02T14:50:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-02T16:35:00	3	Apartment	485547.33905596414	4421526.153604189
3	2025-07-02T16:35:00	11	Restaurant	483834.4909161149	4422719.660534676
0	2025-07-02T16:45:00	10	Pub	486194.0125563806	4421348.554417097
3	2025-07-02T17:00:00	0	Apartment	483386.13406596635	4420756.4680047715
1	2025-07-02T17:15:00	2	Apartment	487038.28498915996	4420353.145806744
1	2025-07-02T17:25:00	10	Pub	486194.0125563806	4421348.554417097
4	2025-07-02T18:20:00	11	Restaurant	483834.4909161149	4422719.660534676
0	2025-07-02T18:50:00	3	Apartment	485547.33905596414	4421526.153604189
4	2025-07-02T18:50:00	0	Apartment	483427.58001767774	4420738.353228444
0	2025-07-02T19:00:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-02T19:00:00	11	Restaurant	483834.4909161149	4422719.660534676
1	2025-07-02T19:25:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-02T19:50:00	11	Restaurant	483834.4909161149	4422719.660534676
1	2025-07-02T19:50:00	2	Apartment	487038.28498915996	4420353.145806744
1	2025-07-02T20:00:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-02T20:15:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-02T20:40:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-02T20:50:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-02T21:10:00	2	Apartment	487038.28498915996	4420353.145806744
1	2025-07-02T21:20:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-02T23:05:00	2	Apartment	487038.28498915996	4420353.145806744
0	2025-07-02T23:10:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-02T23:20:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-02T23:45:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-03T07:05:00	9	Workplace	486971.8556855318	4422510.6889146175
1	2025-07-03T07:55:00	9	Workplace	486971.8556855318	4422510.6889146175
2	2025-07-03T08:00:00	9	Workplace	486971.8556855318	4422510.6889146175
3	2025-07-03T08:05:00	11	Restaurant	483834.4909161149	4422719.660534676
4	2025-07-03T08:05:00	11	Restaurant	483834.4909161149	4422719.660534676
3	2025-07-03T08:30:00	0	Apartment	483386.13406596635	4420756.4680047715
4	2025-07-03T08:35:00	0	Apartment	483427.58001767774	4420738.353228444
0	2025-07-03T13:10:00	11	Restaurant	483834.4909161149	4422719.660534676
1	2025-07-03T13:10:00	11	Restaurant	483834.4909161149	4422719.660534676
0	2025-07-03T13:35:00	9	Workplace	486971.8556855318	4422510.6889146175
1	2025-07-03T13:35:00	9	Workplace	486971.8556855318	4422510.6889146175
0	2025-07-03T13:50:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-03T14:00:00	10	Pub	486194.0125563806	4421348.554417097
2	2025-07-03T14:05:00	1	Apartment	485057.58590894594	4420442.765882327
1	2025-07-03T14:40:00	2	Apartment	487038.28498915996	4420353.145806744
1	2025-07-03T14:50:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-03T15:55:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-03T16:05:00	10	Pub	486194.0125563806	4421348.554417097
3	2025-07-03T16:35:00	11	Restaurant	483834.4909161149	4422719.660534676
3	2025-07-03T17:00:00	0	Apartment	483386.13406596635	4420756.4680047715
1	2025-07-03T17:15:00	2	Apartment	487038.28498915996	4420353.145806744
1	2025-07-03T17:25:00	10	Pub	486194.0125563806	4421348.554417097
4	2025-07-03T18:20:00	11	Restaurant	483834.4909161149	4422719.660534676
0	2025-07-03T18:25:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-03T18:35:00	10	Pub	486194.0125563806	4421348.554417097
4	2025-07-03T18:50:00	0	Apartment	483427.58001767774	4420738.353228444
1	2025-07-03T19:00:00	11	Restaurant	483834.4909161149	4422719.660534676
1	2025-07-03T19:25:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-03T19:50:00	11	Restaurant	483834.4909161149	4422719.660534676
1	2025-07-03T19:50:00	2	Apartment	487038.28498915996	4420353.145806744
1	2025-07-03T20:00:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-03T20:15:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-03T20:40:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-03T20:50:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-03T21:45:00	2	Apartment	487038.28498915996	4420353.145806744
1	2025-07-03T21:55:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-03T22:25:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-03T22:35:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-03T23:05:00	2	Apartment	487038.28498915996	4420353.145806744
0	2025-07-03T23:30:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-03T23:40:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-03T23:50:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-04T07:05:00	9	Workplace	486971.8556855318	4422510.6889146175
1	2025-07-04T07:55:00	9	Workplace	486971.8556855318	4422510.6889146175
2	2025-07-04T08:00:00	9	Workplace	486971.8556855318	4422510.6889146175
3	2025-07-04T08:05:00	11	Restaurant	483834.4909161149	4422719.660534676
4	2025-07-04T08:05:00	11	Restaurant	483834.4909161149	4422719.660534676
3	2025-07-04T08:30:00	0	Apartment	483386.13406596635	4420756.4680047715
4	2025-07-04T08:35:00	0	Apartment	483427.58001767774	4420738.353228444
0	2025-07-04T13:10:00	11	Restaurant	483834.4909161149	4422719.660534676
1	2025-07-04T13:10:00	11	Restaurant	483834.4909161149	4422719.660534676
0	2025-07-04T13:35:00	9	Workplace	486971.8556855318	4422510.6889146175
1	2025-07-04T13:35:00	9	Workplace	486971.8556855318	4422510.6889146175
0	2025-07-04T13:50:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-04T14:00:00	10	Pub	486194.0125563806	4421348.554417097
2	2025-07-04T14:05:00	1	Apartment	485057.58590894594	4420442.765882327
1	2025-07-04T14:40:00	2	Apartment	487038.28498915996	4420353.145806744
1	2025-07-04T14:50:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-04T15:55:00	2	Apartment	487038.28498915996	4420353.145806744
1	2025-07-04T16:05:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-04T16:20:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-04T16:30:00	10	Pub	486194.0125563806	4421348.554417097
3	2025-07-04T16:35:00	11	Restaurant	483834.4909161149	4422719.660534676
3	2025-07-04T17:00:00	0	Apartment	483386.13406596635	4420756.4680047715
1	2025-07-04T17:55:00	2	Apartment	487038.28498915996	4420353.145806744
1	2025-07-04T18:05:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-04T18:10:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-04T18:20:00	10	Pub	486194.0125563806	4421348.554417097
4	2025-07-04T18:20:00	11	Restaurant	483834.4909161149	4422719.660534676
4	2025-07-04T18:50:00	0	Apartment	483427.58001767774	4420738.353228444
2	2025-07-04T18:55:00	11	Restaurant	483834.4909161149	4422719.660534676
1	2025-07-04T19:00:00	11	Restaurant	483834.4909161149	4422719.660534676
1	2025-07-04T19:25:00	10	Pub	486194.0125563806	4421348.554417097
2	2025-07-04T19:25:00	1	Apartment	485057.58590894594	4420442.765882327
0	2025-07-04T19:50:00	11	Restaurant	483834.4909161149	4422719.660534676
1	2025-07-04T19:50:00	2	Apartment	487038.28498915996	4420353.145806744
1	2025-07-04T20:00:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-04T20:15:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-04T20:40:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-04T20:50:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-04T21:25:00	2	Apartment	487038.28498915996	4420353.145806744
1	2025-07-04T21:35:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-04T22:35:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-04T22:45:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-04T23:10:00	2	Apartment	487038.28498915996	4420353.145806744
0	2025-07-04T23:45:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-05T07:00:00	11	Restaurant	483834.4909161149	4422719.660534676
0	2025-07-05T07:30:00	3	Apartment	485547.33905596414	4421526.153604189
0	2025-07-05T07:40:00	10	Pub	486194.0125563806	4421348.554417097
1	2025-07-05T07:55:00	11	Restaurant	483834.4909161149	4422719.660534676
2	2025-07-05T08:00:00	11	Restaurant	483834.4909161149	4422719.660534676
3	2025-07-05T08:05:00	11	Restaurant	483834.4909161149	4422719.660534676
4	2025-07-05T08:05:00	11	Restaurant	483834.4909161149	4422719.660534676
1	2025-07-05T08:30:00	2	Apartment	487038.28498915996	4420353.145806744
2	2025-07-05T08:30:00	1	Apartment	485057.58590894594	4420442.765882327
3	2025-07-05T08:30:00	0	Apartment	483386.13406596635	4420756.4680047715
4	2025-07-05T08:35:00	0	Apartment	483427.58001767774	4420738.353228444
1	2025-07-05T08:40:00	10	Pub	486194.0125563806	4421348.554417097
0	2025-07-05T08:55:00	3	Apartment	485547.33905596414	4421526.153604189
