step	simulationTime	location	agentId
7	2025-07-01T00:35:00.000	POINT (487049.12003384926 4420349.32446721)	1
7	2025-07-01T00:35:00.000	POINT (485057.5850584154 4420431.121838025)	2
7	2025-07-01T00:35:00.000	POINT (483373.16822203726 4420750.797663476)	3
7	2025-07-01T00:35:00.000	POINT (483415.5053154079 4420725.761703704)	4
8	2025-07-01T00:40:00.000	POINT (485535.99952546356 4421523.756333128)	0
8	2025-07-01T00:40:00.000	POINT (487049.12003384926 4420349.32446721)	1
8	2025-07-01T00:40:00.000	POINT (485057.5850584154 4420431.121838025)	2
8	2025-07-01T00:40:00.000	POINT (483373.16822203726 4420750.797663476)	3
8	2025-07-01T00:40:00.000	POINT (483415.5053154079 4420725.761703704)	4
9	2025-07-01T00:45:00.000	POINT (485535.99952546356 4421523.756333128)	0
9	2025-07-01T00:45:00.000	POINT (487049.12003384926 4420349.32446721)	1
9	2025-07-01T00:45:00.000	POINT (485057.5850584154 4420431.121838025)	2
9	2025-07-01T00:45:00.000	POINT (483373.16822203726 4420750.797663476)	3
9	2025-07-01T00:45:00.000	POINT (483415.5053154079 4420725.761703704)	4
10	2025-07-01T00:50:00.000	POINT (485535.99952546356 4421523.756333128)	0
10	2025-07-01T00:50:00.000	POINT (487049.12003384926 4420349.32446721)	1
10	2025-07-01T00:50:00.000	POINT (485057.5850584154 4420431.121838025)	2
10	2025-07-01T00:50:00.000	POINT (483373.16822203726 4420750.797663476)	3
10	2025-07-01T00:50:00.000	POINT (483415.5053154079 4420725.761703704)	4
11	2025-07-01T00:55:00.000	POINT (485535.99952546356 4421523.756333128)	0
11	2025-07-01T00:55:00.000	POINT (487049.12003384926 4420349.32446721)	1
11	2025-07-01T00:55:00.000	POINT (485057.5850584154 4420431.121838025)	2
11	2025-07-01T00:55:00.000	POINT (483373.16822203726 4420750.797663476)	3
11	2025-07-01T00:55:00.000	POINT (483415.5053154079 4420725.761703704)	4
12	2025-07-01T01:00:00.000	POINT (485535.99952546356 4421523.756333128)	0
12	2025-07-01T01:00:00.000	POINT (487049.12003384926 4420349.32446721)	1
12	2025-07-01T01:00:00.000	POINT (485057.5850584154 4420431.121838025)	2
12	2025-07-01T01:00:00.000	POINT (483373.16822203726 4420750.797663476)	3
12	2025-07-01T01:00:00.000	POINT (483415.5053154079 4420725.761703704)	4
13	2025-07-01T01:05:00.000	POINT (485535.99952546356 4421523.756333128)	0
13	2025-07-01T01:05:00.000	POINT (487049.12003384926 4420349.32446721)	1
13	2025-07-01T01:05:00.000	POINT (485057.5850584154 4420431.121838025)	2
13	2025-07-01T01:05:00.000	POINT (483373.16822203726 4420750.797663476)	3
13	2025-07-01T01:05:00.000	POINT (483415.5053154079 4420725.761703704)	4
14	2025-07-01T01:10:00.000	POINT (485535.99952546356 4421523.756333128)	0
14	2025-07-01T01:10:00.000	POINT (487049.12003384926 4420349.32446721)	1
14	2025-07-01T01:10:00.000	POINT (485057.5850584154 4420431.121838025)	2
14	2025-07-01T01:10:00.000	POINT (483373.16822203726 4420750.797663476)	3
14	2025-07-01T01:10:00.000	POINT (483415.5053154079 4420725.761703704)	4
15	2025-07-01T01:15:00.000	POINT (485535.99952546356 4421523.756333128)	0
15	2025-07-01T01:15:00.000	POINT (487049.12003384926 4420349.32446721)	1
15	2025-07-01T01:15:00.000	POINT (485057.5850584154 4420431.121838025)	2
15	2025-07-01T01:15:00.000	POINT (483373.16822203726 4420750.797663476)	3
15	2025-07-01T01:15:00.000	POINT (483415.5053154079 4420725.761703704)	4
16	2025-07-01T01:20:00.000	POINT (485535.99952546356 4421523.756333128)	0
16	2025-07-01T01:20:00.000	POINT (487049.12003384926 4420349.32446721)	1
16	2025-07-01T01:20:00.000	POINT (485057.5850584154 4420431.121838025)	2
16	2025-07-01T01:20:00.000	POINT (483373.16822203726 4420750.797663476)	3
16	2025-07-01T01:20:00.000	POINT (483415.5053154079 4420725.761703704)	4
17	2025-07-01T01:25:00.000	POINT (485535.99952546356 4421523.756333128)	0
17	2025-07-01T01:25:00.000	POINT (487049.12003384926 4420349.32446721)	1
17	2025-07-01T01:25:00.000	POINT (485057.5850584154 4420431.121838025)	2
17	2025-07-01T01:25:00.000	POINT (483373.16822203726 4420750.797663476)	3
17	2025-07-01T01:25:00.000	POINT (483415.5053154079 4420725.761703704)	4
18	2025-07-01T01:30:00.000	POINT (485535.99952546356 4421523.756333128)	0
18	2025-07-01T01:30:00.000	POINT (487049.12003384926 4420349.32446721)	1
18	2025-07-01T01:30:00.000	POINT (485057.5850584154 4420431.121838025)	2
18	2025-07-01T01:30:00.000	POINT (483373.16822203726 4420750.797663476)	3
18	2025-07-01T01:30:00.000	POINT (483415.5053154079 4420725.761703704)	4
19	2025-07-01T01:35:00.000	POINT (485535.99952546356 4421523.756333128)	0
19	2025-07-01T01:35:00.000	POINT (487049.12003384926 4420349.32446721)	1
19	2025-07-01T01:35:00.000	POINT (485057.5850584154 4420431.121838025)	2
19	2025-07-01T01:35:00.000	POINT (483373.16822203726 4420750.797663476)	3
19	2025-07-01T01:35:00.000	POINT (483415.5053154079 4420725.761703704)	4
20	2025-07-01T01:40:00.000	POINT (485535.99952546356 4421523.756333128)	0
20	2025-07-01T01:40:00.000	POINT (487049.12003384926 4420349.32446721)	1
20	2025-07-01T01:40:00.000	POINT (485057.5850584154 4420431.121838025)	2
20	2025-07-01T01:40:00.000	POINT (483373.16822203726 4420750.797663476)	3
20	2025-07-01T01:40:00.000	POINT (483415.5053154079 4420725.761703704)	4
21	2025-07-01T01:45:00.000	POINT (485535.99952546356 4421523.756333128)	0
21	2025-07-01T01:45:00.000	POINT (487049.12003384926 4420349.32446721)	1
21	2025-07-01T01:45:00.000	POINT (485057.5850584154 4420431.121838025)	2
21	2025-07-01T01:45:00.000	POINT (483373.16822203726 4420750.797663476)	3
21	2025-07-01T01:45:00.000	POINT (483415.5053154079 4420725.761703704)	4
22	2025-07-01T01:50:00.000	POINT (485535.99952546356 4421523.756333128)	0
22	2025-07-01T01:50:00.000	POINT (487049.12003384926 4420349.32446721)	1
22	2025-07-01T01:50:00.000	POINT (485057.5850584154 4420431.121838025)	2
22	2025-07-01T01:50:00.000	POINT (483373.16822203726 4420750.797663476)	3
22	2025-07-01T01:50:00.000	POINT (483415.5053154079 4420725.761703704)	4
23	2025-07-01T01:55:00.000	POINT (485535.99952546356 4421523.756333128)	0
23	2025-07-01T01:55:00.000	POINT (487049.12003384926 4420349.32446721)	1
23	2025-07-01T01:55:00.000	POINT (485057.5850584154 4420431.121838025)	2
23	2025-07-01T01:55:00.000	POINT (483373.16822203726 4420750.797663476)	3
23	2025-07-01T01:55:00.000	POINT (483415.5053154079 4420725.761703704)	4
24	2025-07-01T02:00:00.000	POINT (485535.99952546356 4421523.756333128)	0
24	2025-07-01T02:00:00.000	POINT (487049.12003384926 4420349.32446721)	1
24	2025-07-01T02:00:00.000	POINT (485057.5850584154 4420431.121838025)	2
24	2025-07-01T02:00:00.000	POINT (483373.16822203726 4420750.797663476)	3
24	2025-07-01T02:00:00.000	POINT (483415.5053154079 4420725.761703704)	4
25	2025-07-01T02:05:00.000	POINT (485535.99952546356 4421523.756333128)	0
25	2025-07-01T02:05:00.000	POINT (487049.12003384926 4420349.32446721)	1
25	2025-07-01T02:05:00.000	POINT (485057.5850584154 4420431.121838025)	2
25	2025-07-01T02:05:00.000	POINT (483373.16822203726 4420750.797663476)	3
25	2025-07-01T02:05:00.000	POINT (483415.5053154079 4420725.761703704)	4
26	2025-07-01T02:10:00.000	POINT (485535.99952546356 4421523.756333128)	0
26	2025-07-01T02:10:00.000	POINT (487049.12003384926 4420349.32446721)	1
26	2025-07-01T02:10:00.000	POINT (485057.5850584154 4420431.121838025)	2
26	2025-07-01T02:10:00.000	POINT (483373.16822203726 4420750.797663476)	3
26	2025-07-01T02:10:00.000	POINT (483415.5053154079 4420725.761703704)	4
27	2025-07-01T02:15:00.000	POINT (485535.99952546356 4421523.756333128)	0
27	2025-07-01T02:15:00.000	POINT (487049.12003384926 4420349.32446721)	1
27	2025-07-01T02:15:00.000	POINT (485057.5850584154 4420431.121838025)	2
27	2025-07-01T02:15:00.000	POINT (483373.16822203726 4420750.797663476)	3
27	2025-07-01T02:15:00.000	POINT (483415.5053154079 4420725.761703704)	4
28	2025-07-01T02:20:00.000	POINT (485535.99952546356 4421523.756333128)	0
28	2025-07-01T02:20:00.000	POINT (487049.12003384926 4420349.32446721)	1
28	2025-07-01T02:20:00.000	POINT (485057.5850584154 4420431.121838025)	2
28	2025-07-01T02:20:00.000	POINT (483373.16822203726 4420750.797663476)	3
28	2025-07-01T02:20:00.000	POINT (483415.5053154079 4420725.761703704)	4
29	2025-07-01T02:25:00.000	POINT (485535.99952546356 4421523.756333128)	0
29	2025-07-01T02:25:00.000	POINT (487049.12003384926 4420349.32446721)	1
29	2025-07-01T02:25:00.000	POINT (485057.5850584154 4420431.121838025)	2
29	2025-07-01T02:25:00.000	POINT (483373.16822203726 4420750.797663476)	3
29	2025-07-01T02:25:00.000	POINT (483415.5053154079 4420725.761703704)	4
30	2025-07-01T02:30:00.000	POINT (485535.99952546356 4421523.756333128)	0
30	2025-07-01T02:30:00.000	POINT (487049.12003384926 4420349.32446721)	1
30	2025-07-01T02:30:00.000	POINT (485057.5850584154 4420431.121838025)	2
30	2025-07-01T02:30:00.000	POINT (483373.16822203726 4420750.797663476)	3
30	2025-07-01T02:30:00.000	POINT (483415.5053154079 4420725.761703704)	4
31	2025-07-01T02:35:00.000	POINT (485535.99952546356 4421523.756333128)	0
31	2025-07-01T02:35:00.000	POINT (487049.12003384926 4420349.32446721)	1
31	2025-07-01T02:35:00.000	POINT (485057.5850584154 4420431.121838025)	2
31	2025-07-01T02:35:00.000	POINT (483373.16822203726 4420750.797663476)	3
31	2025-07-01T02:35:00.000	POINT (483415.5053154079 4420725.761703704)	4
32	2025-07-01T02:40:00.000	POINT (485535.99952546356 4421523.756333128)	0
32	2025-07-01T02:40:00.000	POINT (487049.12003384926 4420349.32446721)	1
32	2025-07-01T02:40:00.000	POINT (485057.5850584154 4420431.121838025)	2
32	2025-07-01T02:40:00.000	POINT (483373.16822203726 4420750.797663476)	3
32	2025-07-01T02:40:00.000	POINT (483415.5053154079 4420725.761703704)	4
33	2025-07-01T02:45:00.000	POINT (485535.99952546356 4421523.756333128)	0
33	2025-07-01T02:45:00.000	POINT (487049.12003384926 4420349.32446721)	1
33	2025-07-01T02:45:00.000	POINT (485057.5850584154 4420431.121838025)	2
33	2025-07-01T02:45:00.000	POINT (483373.16822203726 4420750.797663476)	3
33	2025-07-01T02:45:00.000	POINT (483415.5053154079 4420725.761703704)	4
34	2025-07-01T02:50:00.000	POINT (485535.99952546356 4421523.756333128)	0
34	2025-07-01T02:50:00.000	POINT (487049.12003384926 4420349.32446721)	1
34	2025-07-01T02:50:00.000	POINT (485057.5850584154 4420431.121838025)	2
34	2025-07-01T02:50:00.000	POINT (483373.16822203726 4420750.797663476)	3
34	2025-07-01T02:50:00.000	POINT (483415.5053154079 4420725.761703704)	4
35	2025-07-01T02:55:00.000	POINT (485535.99952546356 4421523.756333128)	0
35	2025-07-01T02:55:00.000	POINT (487049.12003384926 4420349.32446721)	1
35	2025-07-01T02:55:00.000	POINT (485057.5850584154 4420431.121838025)	2
35	2025-07-01T02:55:00.000	POINT (483373.16822203726 4420750.797663476)	3
35	2025-07-01T02:55:00.000	POINT (483415.5053154079 4420725.761703704)	4
36	2025-07-01T03:00:00.000	POINT (485535.99952546356 4421523.756333128)	0
36	2025-07-01T03:00:00.000	POINT (487049.12003384926 4420349.32446721)	1
36	2025-07-01T03:00:00.000	POINT (485057.5850584154 4420431.121838025)	2
36	2025-07-01T03:00:00.000	POINT (483373.16822203726 4420750.797663476)	3
36	2025-07-01T03:00:00.000	POINT (483415.5053154079 4420725.761703704)	4
37	2025-07-01T03:05:00.000	POINT (485535.99952546356 4421523.756333128)	0
37	2025-07-01T03:05:00.000	POINT (487049.12003384926 4420349.32446721)	1
37	2025-07-01T03:05:00.000	POINT (485057.5850584154 4420431.121838025)	2
37	2025-07-01T03:05:00.000	POINT (483373.16822203726 4420750.797663476)	3
37	2025-07-01T03:05:00.000	POINT (483415.5053154079 4420725.761703704)	4
38	2025-07-01T03:10:00.000	POINT (485535.99952546356 4421523.756333128)	0
38	2025-07-01T03:10:00.000	POINT (487049.12003384926 4420349.32446721)	1
38	2025-07-01T03:10:00.000	POINT (485057.5850584154 4420431.121838025)	2
38	2025-07-01T03:10:00.000	POINT (483373.16822203726 4420750.797663476)	3
38	2025-07-01T03:10:00.000	POINT (483415.5053154079 4420725.761703704)	4
39	2025-07-01T03:15:00.000	POINT (485535.99952546356 4421523.756333128)	0
39	2025-07-01T03:15:00.000	POINT (487049.12003384926 4420349.32446721)	1
39	2025-07-01T03:15:00.000	POINT (485057.5850584154 4420431.121838025)	2
39	2025-07-01T03:15:00.000	POINT (483373.16822203726 4420750.797663476)	3
39	2025-07-01T03:15:00.000	POINT (483415.5053154079 4420725.761703704)	4
40	2025-07-01T03:20:00.000	POINT (485535.99952546356 4421523.756333128)	0
40	2025-07-01T03:20:00.000	POINT (487049.12003384926 4420349.32446721)	1
40	2025-07-01T03:20:00.000	POINT (485057.5850584154 4420431.121838025)	2
40	2025-07-01T03:20:00.000	POINT (483373.16822203726 4420750.797663476)	3
40	2025-07-01T03:20:00.000	POINT (483415.5053154079 4420725.761703704)	4
41	2025-07-01T03:25:00.000	POINT (485535.99952546356 4421523.756333128)	0
41	2025-07-01T03:25:00.000	POINT (487049.12003384926 4420349.32446721)	1
41	2025-07-01T03:25:00.000	POINT (485057.5850584154 4420431.121838025)	2
41	2025-07-01T03:25:00.000	POINT (483373.16822203726 4420750.797663476)	3
41	2025-07-01T03:25:00.000	POINT (483415.5053154079 4420725.761703704)	4
42	2025-07-01T03:30:00.000	POINT (485535.99952546356 4421523.756333128)	0
42	2025-07-01T03:30:00.000	POINT (487049.12003384926 4420349.32446721)	1
42	2025-07-01T03:30:00.000	POINT (485057.5850584154 4420431.121838025)	2
42	2025-07-01T03:30:00.000	POINT (483373.16822203726 4420750.797663476)	3
42	2025-07-01T03:30:00.000	POINT (483415.5053154079 4420725.761703704)	4
43	2025-07-01T03:35:00.000	POINT (485535.99952546356 4421523.756333128)	0
43	2025-07-01T03:35:00.000	POINT (487049.12003384926 4420349.32446721)	1
43	2025-07-01T03:35:00.000	POINT (485057.5850584154 4420431.121838025)	2
43	2025-07-01T03:35:00.000	POINT (483373.16822203726 4420750.797663476)	3
43	2025-07-01T03:35:00.000	POINT (483415.5053154079 4420725.761703704)	4
44	2025-07-01T03:40:00.000	POINT (485535.99952546356 4421523.756333128)	0
44	2025-07-01T03:40:00.000	POINT (487049.12003384926 4420349.32446721)	1
44	2025-07-01T03:40:00.000	POINT (485057.5850584154 4420431.121838025)	2
44	2025-07-01T03:40:00.000	POINT (483373.16822203726 4420750.797663476)	3
44	2025-07-01T03:40:00.000	POINT (483415.5053154079 4420725.761703704)	4
45	2025-07-01T03:45:00.000	POINT (485535.99952546356 4421523.756333128)	0
45	2025-07-01T03:45:00.000	POINT (487049.12003384926 4420349.32446721)	1
45	2025-07-01T03:45:00.000	POINT (485057.5850584154 4420431.121838025)	2
45	2025-07-01T03:45:00.000	POINT (483373.16822203726 4420750.797663476)	3
45	2025-07-01T03:45:00.000	POINT (483415.5053154079 4420725.761703704)	4
46	2025-07-01T03:50:00.000	POINT (485535.99952546356 4421523.756333128)	0
46	2025-07-01T03:50:00.000	POINT (487049.12003384926 4420349.32446721)	1
46	2025-07-01T03:50:00.000	POINT (485057.5850584154 4420431.121838025)	2
46	2025-07-01T03:50:00.000	POINT (483373.16822203726 4420750.797663476)	3
46	2025-07-01T03:50:00.000	POINT (483415.5053154079 4420725.761703704)	4
47	2025-07-01T03:55:00.000	POINT (485535.99952546356 4421523.756333128)	0
47	2025-07-01T03:55:00.000	POINT (487049.12003384926 4420349.32446721)	1
47	2025-07-01T03:55:00.000	POINT (485057.5850584154 4420431.121838025)	2
47	2025-07-01T03:55:00.000	POINT (483373.16822203726 4420750.797663476)	3
47	2025-07-01T03:55:00.000	POINT (483415.5053154079 4420725.761703704)	4
48	2025-07-01T04:00:00.000	POINT (485535.99952546356 4421523.756333128)	0
48	2025-07-01T04:00:00.000	POINT (487049.12003384926 4420349.32446721)	1
48	2025-07-01T04:00:00.000	POINT (485057.5850584154 4420431.121838025)	2
48	2025-07-01T04:00:00.000	POINT (483373.16822203726 4420750.797663476)	3
48	2025-07-01T04:00:00.000	POINT (483415.5053154079 4420725.761703704)	4
49	2025-07-01T04:05:00.000	POINT (485535.99952546356 4421523.756333128)	0
49	2025-07-01T04:05:00.000	POINT (487049.12003384926 4420349.32446721)	1
49	2025-07-01T04:05:00.000	POINT (485057.5850584154 4420431.121838025)	2
49	2025-07-01T04:05:00.000	POINT (483373.16822203726 4420750.797663476)	3
49	2025-07-01T04:05:00.000	POINT (483415.5053154079 4420725.761703704)	4
50	2025-07-01T04:10:00.000	POINT (485535.99952546356 4421523.756333128)	0
50	2025-07-01T04:10:00.000	POINT (487049.12003384926 4420349.32446721)	1
50	2025-07-01T04:10:00.000	POINT (485057.5850584154 4420431.121838025)	2
50	2025-07-01T04:10:00.000	POINT (483373.16822203726 4420750.797663476)	3
50	2025-07-01T04:10:00.000	POINT (483415.5053154079 4420725.761703704)	4
51	2025-07-01T04:15:00.000	POINT (485535.99952546356 4421523.756333128)	0
51	2025-07-01T04:15:00.000	POINT (487049.12003384926 4420349.32446721)	1
51	2025-07-01T04:15:00.000	POINT (485057.5850584154 4420431.121838025)	2
51	2025-07-01T04:15:00.000	POINT (483373.16822203726 4420750.797663476)	3
51	2025-07-01T04:15:00.000	POINT (483415.5053154079 4420725.761703704)	4
52	2025-07-01T04:20:00.000	POINT (485535.99952546356 4421523.756333128)	0
52	2025-07-01T04:20:00.000	POINT (487049.12003384926 4420349.32446721)	1
52	2025-07-01T04:20:00.000	POINT (485057.5850584154 4420431.121838025)	2
52	2025-07-01T04:20:00.000	POINT (483373.16822203726 4420750.797663476)	3
52	2025-07-01T04:20:00.000	POINT (483415.5053154079 4420725.761703704)	4
53	2025-07-01T04:25:00.000	POINT (485535.99952546356 4421523.756333128)	0
53	2025-07-01T04:25:00.000	POINT (487049.12003384926 4420349.32446721)	1
53	2025-07-01T04:25:00.000	POINT (485057.5850584154 4420431.121838025)	2
53	2025-07-01T04:25:00.000	POINT (483373.16822203726 4420750.797663476)	3
53	2025-07-01T04:25:00.000	POINT (483415.5053154079 4420725.761703704)	4
54	2025-07-01T04:30:00.000	POINT (485535.99952546356 4421523.756333128)	0
54	2025-07-01T04:30:00.000	POINT (487049.12003384926 4420349.32446721)	1
54	2025-07-01T04:30:00.000	POINT (485057.5850584154 4420431.121838025)	2
54	2025-07-01T04:30:00.000	POINT (483373.16822203726 4420750.797663476)	3
54	2025-07-01T04:30:00.000	POINT (483415.5053154079 4420725.761703704)	4
55	2025-07-01T04:35:00.000	POINT (485535.99952546356 4421523.756333128)	0
55	2025-07-01T04:35:00.000	POINT (487049.12003384926 4420349.32446721)	1
55	2025-07-01T04:35:00.000	POINT (485057.5850584154 4420431.121838025)	2
55	2025-07-01T04:35:00.000	POINT (483373.16822203726 4420750.797663476)	3
55	2025-07-01T04:35:00.000	POINT (483415.5053154079 4420725.761703704)	4
56	2025-07-01T04:40:00.000	POINT (485535.99952546356 4421523.756333128)	0
56	2025-07-01T04:40:00.000	POINT (487049.12003384926 4420349.32446721)	1
56	2025-07-01T04:40:00.000	POINT (485057.5850584154 4420431.121838025)	2
56	2025-07-01T04:40:00.000	POINT (483373.16822203726 4420750.797663476)	3
56	2025-07-01T04:40:00.000	POINT (483415.5053154079 4420725.761703704)	4
57	2025-07-01T04:45:00.000	POINT (485535.99952546356 4421523.756333128)	0
57	2025-07-01T04:45:00.000	POINT (487049.12003384926 4420349.32446721)	1
57	2025-07-01T04:45:00.000	POINT (485057.5850584154 4420431.121838025)	2
57	2025-07-01T04:45:00.000	POINT (483373.16822203726 4420750.797663476)	3
57	2025-07-01T04:45:00.000	POINT (483415.5053154079 4420725.761703704)	4
58	2025-07-01T04:50:00.000	POINT (485535.99952546356 4421523.756333128)	0
58	2025-07-01T04:50:00.000	POINT (487049.12003384926 4420349.32446721)	1
58	2025-07-01T04:50:00.000	POINT (485057.5850584154 4420431.121838025)	2
58	2025-07-01T04:50:00.000	POINT (483373.16822203726 4420750.797663476)	3
58	2025-07-01T04:50:00.000	POINT (483415.5053154079 4420725.761703704)	4
59	2025-07-01T04:55:00.000	POINT (485535.99952546356 4421523.756333128)	0
59	2025-07-01T04:55:00.000	POINT (487049.12003384926 4420349.32446721)	1
59	2025-07-01T04:55:00.000	POINT (485057.5850584154 4420431.121838025)	2
59	2025-07-01T04:55:00.000	POINT (483373.16822203726 4420750.797663476)	3
59	2025-07-01T04:55:00.000	POINT (483415.5053154079 4420725.761703704)	4
60	2025-07-01T05:00:00.000	POINT (485535.99952546356 4421523.756333128)	0
60	2025-07-01T05:00:00.000	POINT (487049.12003384926 4420349.32446721)	1
60	2025-07-01T05:00:00.000	POINT (485057.5850584154 4420431.121838025)	2
60	2025-07-01T05:00:00.000	POINT (483373.16822203726 4420750.797663476)	3
60	2025-07-01T05:00:00.000	POINT (483415.5053154079 4420725.761703704)	4
61	2025-07-01T05:05:00.000	POINT (485535.99952546356 4421523.756333128)	0
61	2025-07-01T05:05:00.000	POINT (487049.12003384926 4420349.32446721)	1
61	2025-07-01T05:05:00.000	POINT (485057.5850584154 4420431.121838025)	2
61	2025-07-01T05:05:00.000	POINT (483373.16822203726 4420750.797663476)	3
61	2025-07-01T05:05:00.000	POINT (483415.5053154079 4420725.761703704)	4
62	2025-07-01T05:10:00.000	POINT (485535.99952546356 4421523.756333128)	0
62	2025-07-01T05:10:00.000	POINT (487049.12003384926 4420349.32446721)	1
62	2025-07-01T05:10:00.000	POINT (485057.5850584154 4420431.121838025)	2
62	2025-07-01T05:10:00.000	POINT (483373.16822203726 4420750.797663476)	3
62	2025-07-01T05:10:00.000	POINT (483415.5053154079 4420725.761703704)	4
63	2025-07-01T05:15:00.000	POINT (485535.99952546356 4421523.756333128)	0
63	2025-07-01T05:15:00.000	POINT (487049.12003384926 4420349.32446721)	1
63	2025-07-01T05:15:00.000	POINT (485057.5850584154 4420431.121838025)	2
63	2025-07-01T05:15:00.000	POINT (483373.16822203726 4420750.797663476)	3
63	2025-07-01T05:15:00.000	POINT (483415.5053154079 4420725.761703704)	4
64	2025-07-01T05:20:00.000	POINT (485535.99952546356 4421523.756333128)	0
64	2025-07-01T05:20:00.000	POINT (487049.12003384926 4420349.32446721)	1
64	2025-07-01T05:20:00.000	POINT (485057.5850584154 4420431.121838025)	2
64	2025-07-01T05:20:00.000	POINT (483373.16822203726 4420750.797663476)	3
64	2025-07-01T05:20:00.000	POINT (483415.5053154079 4420725.761703704)	4
65	2025-07-01T05:25:00.000	POINT (485535.99952546356 4421523.756333128)	0
65	2025-07-01T05:25:00.000	POINT (487049.12003384926 4420349.32446721)	1
65	2025-07-01T05:25:00.000	POINT (485057.5850584154 4420431.121838025)	2
65	2025-07-01T05:25:00.000	POINT (483373.16822203726 4420750.797663476)	3
65	2025-07-01T05:25:00.000	POINT (483415.5053154079 4420725.761703704)	4
66	2025-07-01T05:30:00.000	POINT (485535.99952546356 4421523.756333128)	0
66	2025-07-01T05:30:00.000	POINT (487049.12003384926 4420349.32446721)	1
66	2025-07-01T05:30:00.000	POINT (485057.5850584154 4420431.121838025)	2
66	2025-07-01T05:30:00.000	POINT (483373.16822203726 4420750.797663476)	3
66	2025-07-01T05:30:00.000	POINT (483415.5053154079 4420725.761703704)	4
67	2025-07-01T05:35:00.000	POINT (485535.99952546356 4421523.756333128)	0
67	2025-07-01T05:35:00.000	POINT (487049.12003384926 4420349.32446721)	1
67	2025-07-01T05:35:00.000	POINT (485057.5850584154 4420431.121838025)	2
67	2025-07-01T05:35:00.000	POINT (483373.16822203726 4420750.797663476)	3
67	2025-07-01T05:35:00.000	POINT (483415.5053154079 4420725.761703704)	4
68	2025-07-01T05:40:00.000	POINT (485535.99952546356 4421523.756333128)	0
68	2025-07-01T05:40:00.000	POINT (487049.12003384926 4420349.32446721)	1
68	2025-07-01T05:40:00.000	POINT (485057.5850584154 4420431.121838025)	2
68	2025-07-01T05:40:00.000	POINT (483373.16822203726 4420750.797663476)	3
68	2025-07-01T05:40:00.000	POINT (483415.5053154079 4420725.761703704)	4
69	2025-07-01T05:45:00.000	POINT (485535.99952546356 4421523.756333128)	0
69	2025-07-01T05:45:00.000	POINT (487049.12003384926 4420349.32446721)	1
69	2025-07-01T05:45:00.000	POINT (485057.5850584154 4420431.121838025)	2
69	2025-07-01T05:45:00.000	POINT (483373.16822203726 4420750.797663476)	3
