step	simulationTime	location	agentId
0	2025-07-01T00:00:00.000	POINT (485535.99952546356 4421523.756333128)	0
0	2025-07-01T00:00:00.000	POINT (487049.12003384926 4420349.32446721)	1
0	2025-07-01T00:00:00.000	POINT (485057.5850584154 4420431.121838025)	2
0	2025-07-01T00:00:00.000	POINT (483373.16822203726 4420750.797663476)	3
0	2025-07-01T00:00:00.000	POINT (483415.5053154079 4420725.761703704)	4
1	2025-07-01T00:05:00.000	POINT (485535.99952546356 4421523.756333128)	0
1	2025-07-01T00:05:00.000	POINT (487049.12003384926 4420349.32446721)	1
1	2025-07-01T00:05:00.000	POINT (485057.5850584154 4420431.121838025)	2
1	2025-07-01T00:05:00.000	POINT (483373.16822203726 4420750.797663476)	3
1	2025-07-01T00:05:00.000	POINT (483415.5053154079 4420725.761703704)	4
2	2025-07-01T00:10:00.000	POINT (485535.99952546356 4421523.756333128)	0
2	2025-07-01T00:10:00.000	POINT (487049.12003384926 4420349.32446721)	1
2	2025-07-01T00:10:00.000	POINT (485057.5850584154 4420431.121838025)	2
2	2025-07-01T00:10:00.000	POINT (483373.16822203726 4420750.797663476)	3
2	2025-07-01T00:10:00.000	POINT (483415.5053154079 4420725.761703704)	4
3	2025-07-01T00:15:00.000	POINT (485535.99952546356 4421523.756333128)	0
3	2025-07-01T00:15:00.000	POINT (487049.12003384926 4420349.32446721)	1
3	2025-07-01T00:15:00.000	POINT (485057.5850584154 4420431.121838025)	2
3	2025-07-01T00:15:00.000	POINT (483373.16822203726 4420750.797663476)	3
3	2025-07-01T00:15:00.000	POINT (483415.5053154079 4420725.761703704)	4
4	2025-07-01T00:20:00.000	POINT (485535.99952546356 4421523.756333128)	0
4	2025-07-01T00:20:00.000	POINT (487049.12003384926 4420349.32446721)	1
4	2025-07-01T00:20:00.000	POINT (485057.5850584154 4420431.121838025)	2
4	2025-07-01T00:20:00.000	POINT (483373.16822203726 4420750.797663476)	3
4	2025-07-01T00:20:00.000	POINT (483415.5053154079 4420725.761703704)	4
5	2025-07-01T00:25:00.000	POINT (485535.99952546356 4421523.756333128)	0
5	2025-07-01T00:25:00.000	POINT (487049.12003384926 4420349.32446721)	1
5	2025-07-01T00:25:00.000	POINT (485057.5850584154 4420431.121838025)	2
5	2025-07-01T00:25:00.000	POINT (483373.16822203726 4420750.797663476)	3
5	2025-07-01T00:25:00.000	POINT (483415.5053154079 4420725.761703704)	4
6	2025-07-01T00:30:00.000	POINT (485535.99952546356 4421523.756333128)	0
6	2025-07-01T00:30:00.000	POINT (487049.12003384926 4420349.32446721)	1
6	2025-07-01T00:30:00.000	POINT (485057.5850584154 4420431.121838025)	2
6	2025-07-01T00:30:00.000	POINT (483373.16822203726 4420750.797663476)	3
6	2025-07-01T00:30:00.000	POINT (483415.5053154079 4420725.761703704)	4
7	2025-07-01T00:35:00.000	POINT (485535.99952546356 4421523.756333128)	0
