step,agentId,travelStartTime,travelStartPlaceType,travelStartLocationId,travelEndTime,travelEndLocationId,travelEndPlaceType,intendedTravelEndLocationId,intendedTravelEndPlaceType,purpose,checkInTime,checkOutTime,minPeopleAtPlace,maxPeopleAtPlace,moneyBalanceBefore,moneyBalanceAfter,venueGeometry,venueType,eventDetails,participantIds,eventOtherDetails
102,3,2025-07-01T08:05:00.000,AtHome,0,2025-07-01T08:10:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-01T08:10:00.000,2025-07-01T08:30:00.000,0,0,10604.758660203952,10600.042355868092,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
123,4,2025-07-01T09:45:00.000,AtHome,0,2025-07-01T09:55:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-01T09:55:00.000,2025-07-01T10:15:00.000,0,0,10516.097789345878,10511.381485010019,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
131,2,2025-07-01T07:55:00.000,AtHome,1,2025-07-01T08:00:00.000,9,AtWork,9,AtWork,Work/Home Commute,2025-07-01T08:00:00.000,2025-07-01T10:55:00.000,0,0,8731.870939519276,9023.537606185942,POINT (486971.8556855318 4422510.6889146175),Workplace,0,None,None
136,2,2025-07-01T10:55:00.000,AtWork,9,2025-07-01T11:00:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-01T11:00:00.000,2025-07-01T11:20:00.000,0,0,9023.537606185942,9018.821301850083,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
157,1,2025-07-01T07:50:00.000,AtHome,2,2025-07-01T07:55:00.000,9,AtWork,9,AtWork,Work/Home Commute,2025-07-01T07:55:00.000,2025-07-01T13:05:00.000,0,0,8311.037660283746,8827.704326950412,POINT (486971.8556855318 4422510.6889146175),Workplace,0,None,None
157,0,2025-07-01T07:00:00.000,AtHome,3,2025-07-01T07:05:00.000,9,AtWork,9,AtWork,Work/Home Commute,2025-07-01T07:05:00.000,2025-07-01T13:05:00.000,0,0,7870.485493738839,8470.485493738839,POINT (486971.8556855318 4422510.6889146175),Workplace,0,None,None
162,1,2025-07-01T13:05:00.000,AtWork,9,2025-07-01T13:10:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-01T13:10:00.000,2025-07-01T13:30:00.000,0,0,8827.704326950412,8822.988022614552,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
162,0,2025-07-01T13:05:00.000,AtWork,9,2025-07-01T13:10:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-01T13:10:00.000,2025-07-01T13:30:00.000,0,0,8470.485493738839,8465.76918940298,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
165,0,2025-07-01T13:30:00.000,AtRestaurant,11,2025-07-01T13:35:00.000,9,AtWork,9,AtWork,Coming Back From Restaurant,2025-07-01T13:35:00.000,2025-07-01T13:45:00.000,0,0,8465.76918940298,8482.435856069646,POINT (486971.8556855318 4422510.6889146175),Workplace,0,None,None
167,0,2025-07-01T13:45:00.000,AtWork,9,2025-07-01T13:50:00.000,3,AtHome,3,AtHome,Work/Home Commute,2025-07-01T13:50:00.000,2025-07-01T13:55:00.000,0,0,8482.435856069646,8482.435856069646,POINT (485547.33905596414 4421526.153604189),Apartment,0,None,None
175,1,2025-07-01T13:30:00.000,AtRestaurant,11,2025-07-01T13:35:00.000,9,AtWork,9,AtWork,Coming Back From Restaurant,2025-07-01T13:35:00.000,2025-07-01T14:35:00.000,0,0,8822.988022614552,8922.988022614552,POINT (486971.8556855318 4422510.6889146175),Workplace,0,None,None
176,2,2025-07-01T11:20:00.000,AtRestaurant,11,2025-07-01T11:25:00.000,9,AtWork,9,AtWork,Coming Back From Restaurant,2025-07-01T11:25:00.000,2025-07-01T14:40:00.000,0,0,9018.821301850083,9343.821301850083,POINT (486971.8556855318 4422510.6889146175),Workplace,0,None,None
177,1,2025-07-01T14:35:00.000,AtWork,9,2025-07-01T14:40:00.000,2,AtHome,2,AtHome,Work/Home Commute,2025-07-01T14:40:00.000,2025-07-01T14:45:00.000,0,0,8922.988022614552,8922.988022614552,POINT (487038.28498915996 4420353.145806744),Apartment,0,None,None
178,2,2025-07-01T14:40:00.000,AtWork,9,2025-07-01T14:45:00.000,1,AtHome,1,AtHome,Work/Home Commute,2025-07-01T14:45:00.000,2025-07-01T14:50:00.000,0,0,9343.821301850083,9343.821301850083,POINT (485057.58590894594 4420442.765882327),Apartment,0,None,None
180,0,2025-07-01T13:55:00.000,AtHome,3,2025-07-01T14:00:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T14:00:00.000,2025-07-01T15:00:00.000,0,0,8482.435856069646,8470.768188941032,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
182,0,2025-07-01T15:00:00.000,AtRecreation,10,2025-07-01T15:05:00.000,3,AtHome,3,AtHome,Going Back to Home,2025-07-01T15:05:00.000,2025-07-01T15:10:00.000,0,0,8470.768188941032,8470.768188941032,POINT (485547.33905596414 4421526.153604189),Apartment,0,None,None
199,3,2025-07-01T08:30:00.000,AtRestaurant,11,2025-07-01T08:35:00.000,0,AtHome,0,AtHome,Coming Back From Restaurant,2025-07-01T08:35:00.000,2025-07-01T16:35:00.000,0,0,10600.042355868092,10600.042355868092,POINT (483386.13406596635 4420756.4680047715),Apartment,0,None,None
199,0,2025-07-01T15:10:00.000,AtHome,3,2025-07-01T15:15:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T15:15:00.000,2025-07-01T16:35:00.000,0,0,8470.768188941032,8455.211299436214,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
201,0,2025-07-01T16:35:00.000,AtRecreation,10,2025-07-01T16:40:00.000,3,AtHome,3,AtHome,Going Back to Home,2025-07-01T16:40:00.000,2025-07-01T16:45:00.000,0,0,8455.211299436214,8455.211299436214,POINT (485547.33905596414 4421526.153604189),Apartment,0,None,None
204,3,2025-07-01T16:35:00.000,AtHome,0,2025-07-01T16:40:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-01T16:40:00.000,2025-07-01T17:00:00.000,0,0,10600.042355868092,10595.326051532233,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
204,2,2025-07-01T14:50:00.000,AtHome,1,2025-07-01T14:55:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T14:55:00.000,2025-07-01T17:00:00.000,0,0,9343.821301850083,9319.513661998804,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
205,1,2025-07-01T14:45:00.000,AtHome,2,2025-07-01T14:50:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T14:50:00.000,2025-07-01T17:05:00.000,0,0,8922.988022614552,8896.735771575171,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
206,2,2025-07-01T17:00:00.000,AtRecreation,10,2025-07-01T17:05:00.000,1,AtHome,1,AtHome,Going Back to Home,2025-07-01T17:05:00.000,2025-07-01T17:10:00.000,0,0,9319.513661998804,9319.513661998804,POINT (485057.58590894594 4420442.765882327),Apartment,0,None,None
207,1,2025-07-01T17:05:00.000,AtRecreation,10,2025-07-01T17:10:00.000,2,AtHome,2,AtHome,Going Back to Home,2025-07-01T17:10:00.000,2025-07-01T17:15:00.000,0,0,8896.735771575171,8896.735771575171,POINT (487038.28498915996 4420353.145806744),Apartment,0,None,None
216,0,2025-07-01T16:45:00.000,AtHome,3,2025-07-01T16:50:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T16:50:00.000,2025-07-01T18:00:00.000,0,0,8455.211299436214,8441.599021119499,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
218,0,2025-07-01T18:00:00.000,AtRecreation,10,2025-07-01T18:05:00.000,3,AtHome,3,AtHome,Going Back to Home,2025-07-01T18:05:00.000,2025-07-01T18:10:00.000,0,0,8441.599021119499,8441.599021119499,POINT (485547.33905596414 4421526.153604189),Apartment,0,None,None
227,1,2025-07-01T17:15:00.000,AtHome,2,2025-07-01T17:20:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T17:20:00.000,2025-07-01T18:55:00.000,0,0,8896.735771575171,8878.2619652882,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
229,2,2025-07-01T17:10:00.000,AtHome,1,2025-07-01T17:15:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T17:15:00.000,2025-07-01T19:05:00.000,0,0,9319.513661998804,9298.122938929679,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
231,2,2025-07-01T19:05:00.000,AtRecreation,10,2025-07-01T19:10:00.000,1,AtHome,1,AtHome,Going Back to Home,2025-07-01T19:10:00.000,2025-07-01T19:15:00.000,0,0,9298.122938929679,9298.122938929679,POINT (485057.58590894594 4420442.765882327),Apartment,0,None,None
232,1,2025-07-01T18:55:00.000,AtRecreation,10,2025-07-01T19:00:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-01T19:00:00.000,2025-07-01T19:20:00.000,0,0,8878.2619652882,8873.54566095234,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
235,0,2025-07-01T18:10:00.000,AtHome,3,2025-07-01T18:15:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T18:15:00.000,2025-07-01T19:35:00.000,0,0,8441.599021119499,8426.04213161468,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
237,1,2025-07-01T19:20:00.000,AtRestaurant,11,2025-07-01T19:25:00.000,10,AtRecreation,10,AtRecreation,Coming Back From Restaurant,2025-07-01T19:25:00.000,2025-07-01T19:45:00.000,0,0,8873.54566095234,8869.656438576136,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
237,0,2025-07-01T19:35:00.000,AtRecreation,10,2025-07-01T19:40:00.000,3,AtHome,3,AtHome,Going Back to Home,2025-07-01T19:40:00.000,2025-07-01T19:45:00.000,0,0,8426.04213161468,8426.04213161468,POINT (485547.33905596414 4421526.153604189),Apartment,0,None,None
239,1,2025-07-01T19:45:00.000,AtRecreation,10,2025-07-01T19:50:00.000,2,AtHome,2,AtHome,Going Back to Home,2025-07-01T19:50:00.000,2025-07-01T19:55:00.000,0,0,8869.656438576136,8869.656438576136,POINT (487038.28498915996 4420353.145806744),Apartment,0,None,None
240,4,2025-07-01T10:15:00.000,AtRestaurant,11,2025-07-01T10:25:00.000,0,AtHome,0,AtHome,Coming Back From Restaurant,2025-07-01T10:25:00.000,2025-07-01T20:00:00.000,0,0,10511.381485010019,10511.381485010019,POINT (483427.58001767774 4420738.353228444),Apartment,0,None,None
243,0,2025-07-01T19:45:00.000,AtHome,3,2025-07-01T19:55:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-01T19:55:00.000,2025-07-01T20:15:00.000,0,0,8426.04213161468,8421.32582727882,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
245,2,2025-07-01T19:15:00.000,AtHome,1,2025-07-01T19:20:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T19:20:00.000,2025-07-01T20:25:00.000,0,0,9298.122938929679,9285.482966207013,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
246,4,2025-07-01T20:00:00.000,AtHome,0,2025-07-01T20:10:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-01T20:10:00.000,2025-07-01T20:30:00.000,0,0,10511.381485010019,10506.66518067416,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
246,0,2025-07-01T20:15:00.000,AtRestaurant,11,2025-07-01T20:25:00.000,3,AtHome,3,AtHome,Coming Back From Restaurant,2025-07-01T20:25:00.000,2025-07-01T20:30:00.000,0,0,8421.32582727882,8421.32582727882,POINT (485547.33905596414 4421526.153604189),Apartment,0,None,None
247,2,2025-07-01T20:25:00.000,AtRecreation,10,2025-07-01T20:30:00.000,1,AtHome,1,AtHome,Going Back to Home,2025-07-01T20:30:00.000,2025-07-01T20:35:00.000,0,0,9285.482966207013,9285.482966207013,POINT (485057.58590894594 4420442.765882327),Apartment,0,None,None
