step,agentId,travelStartTime,travelStartPlaceType,travelStartLocationId,travelEndTime,travelEndLocationId,travelEndPlaceType,intendedTravelEndLocationId,intendedTravelEndPlaceType,purpose,checkInTime,checkOutTime,minPeopleAtPlace,maxPeopleAtPlace,moneyBalanceBefore,moneyBalanceAfter,venueGeometry,venueType,eventDetails,participantIds,eventOtherDetails
263,1,2025-07-01T19:55:00.000,AtHome,2,2025-07-01T20:00:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T20:00:00.000,2025-07-01T21:55:00.000,0,0,8869.656438576136,8847.29340991296,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
265,1,2025-07-01T21:55:00.000,AtRecreation,10,2025-07-01T22:00:00.000,2,AtHome,2,AtHome,Going Back to Home,2025-07-01T22:00:00.000,2025-07-01T22:05:00.000,0,0,8847.29340991296,8847.29340991296,POINT (487038.28498915996 4420353.145806744),Apartment,0,None,None
267,0,2025-07-01T20:30:00.000,AtHome,3,2025-07-01T20:35:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T20:35:00.000,2025-07-01T22:15:00.000,0,0,8421.32582727882,8401.879715397798,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
267,2,2025-07-01T20:35:00.000,AtHome,1,2025-07-01T20:40:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T20:40:00.000,2025-07-01T22:15:00.000,0,0,9285.482966207013,9267.009159920042,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
269,0,2025-07-01T22:15:00.000,AtRecreation,10,2025-07-01T22:20:00.000,3,AtHome,3,AtHome,Going Back to Home,2025-07-01T22:20:00.000,2025-07-01T22:25:00.000,0,0,8401.879715397798,8401.879715397798,POINT (485547.33905596414 4421526.153604189),Apartment,0,None,None
272,2,2025-07-01T22:15:00.000,AtRecreation,10,2025-07-01T22:20:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-01T22:20:00.000,2025-07-01T22:40:00.000,0,0,9267.009159920042,9262.292855584183,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
277,2,2025-07-01T22:40:00.000,AtRestaurant,11,2025-07-01T22:45:00.000,10,AtRecreation,10,AtRecreation,Coming Back From Restaurant,2025-07-01T22:45:00.000,2025-07-01T23:05:00.000,0,0,9262.292855584183,9258.403633207978,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
277,1,2025-07-01T22:05:00.000,AtHome,2,2025-07-01T22:10:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T22:10:00.000,2025-07-01T23:05:00.000,0,0,8847.29340991296,8836.598048378397,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
279,2,2025-07-01T23:05:00.000,AtRecreation,10,2025-07-01T23:10:00.000,1,AtHome,1,AtHome,Going Back to Home,2025-07-01T23:10:00.000,2025-07-01T23:15:00.000,0,0,9258.403633207978,9258.403633207978,POINT (485057.58590894594 4420442.765882327),Apartment,0,None,None
281,2,2025-07-01T23:15:00.000,AtHome,1,2025-07-01T23:20:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T23:20:00.000,2025-07-01T23:25:00.000,0,0,9258.403633207978,9257.431327613927,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
284,0,2025-07-01T22:25:00.000,AtHome,3,2025-07-01T22:30:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-01T22:30:00.000,2025-07-01T23:40:00.000,0,0,8401.879715397798,8388.267437081082,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
372,0,2025-07-01T23:40:00.000,AtRecreation,10,2025-07-01T23:45:00.000,3,AtHome,3,AtHome,Going Back to Home,2025-07-01T23:45:00.000,2025-07-02T07:00:00.000,0,0,8388.267437081082,8384.267437081082,POINT (485547.33905596414 4421526.153604189),Apartment,0,None,None
382,1,2025-07-01T23:05:00.000,AtRecreation,10,2025-07-01T23:10:00.000,2,AtHome,2,AtHome,Going Back to Home,2025-07-01T23:10:00.000,2025-07-02T07:50:00.000,0,0,8836.598048378397,8832.598048378397,POINT (487038.28498915996 4420353.145806744),Apartment,0,None,None
383,4,2025-07-01T20:30:00.000,AtRestaurant,11,2025-07-01T20:40:00.000,0,AtHome,0,AtHome,Coming Back From Restaurant,2025-07-01T20:40:00.000,2025-07-02T07:55:00.000,0,0,10506.66518067416,10506.66518067416,POINT (483427.58001767774 4420738.353228444),Apartment,0,None,None
383,2,2025-07-01T23:25:00.000,AtRecreation,10,2025-07-01T23:30:00.000,1,AtHome,1,AtHome,Going Back to Home,2025-07-01T23:30:00.000,2025-07-02T07:55:00.000,0,0,9257.431327613927,9257.431327613927,POINT (485057.58590894594 4420442.765882327),Apartment,0,None,None
384,3,2025-07-01T17:00:00.000,AtRestaurant,11,2025-07-01T17:05:00.000,0,AtHome,0,AtHome,Coming Back From Restaurant,2025-07-01T17:05:00.000,2025-07-02T08:00:00.000,0,0,10595.326051532233,10595.326051532233,POINT (483386.13406596635 4420756.4680047715),Apartment,0,None,None
389,4,2025-07-02T07:55:00.000,AtHome,0,2025-07-02T08:05:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-02T08:05:00.000,2025-07-02T08:25:00.000,0,0,10506.66518067416,10501.9488763383,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
389,3,2025-07-02T08:00:00.000,AtHome,0,2025-07-02T08:05:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-02T08:05:00.000,2025-07-02T08:25:00.000,0,0,10595.326051532233,10590.609747196373,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
403,2,2025-07-02T07:55:00.000,AtHome,1,2025-07-02T08:00:00.000,9,AtWork,9,AtWork,Work/Home Commute,2025-07-02T08:00:00.000,2025-07-02T09:35:00.000,0,0,9257.431327613927,9415.764660947261,POINT (486971.8556855318 4422510.6889146175),Workplace,0,None,None
408,2,2025-07-02T09:35:00.000,AtWork,9,2025-07-02T09:40:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-02T09:40:00.000,2025-07-02T10:00:00.000,0,0,9415.764660947261,9411.048356611402,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
445,0,2025-07-02T07:00:00.000,AtHome,3,2025-07-02T07:05:00.000,9,AtWork,9,AtWork,Work/Home Commute,2025-07-02T07:05:00.000,2025-07-02T13:05:00.000,0,0,8384.267437081082,8984.267437081082,POINT (486971.8556855318 4422510.6889146175),Workplace,0,None,None
445,1,2025-07-02T07:50:00.000,AtHome,2,2025-07-02T07:55:00.000,9,AtWork,9,AtWork,Work/Home Commute,2025-07-02T07:55:00.000,2025-07-02T13:05:00.000,0,0,8832.598048378397,9349.264715045063,POINT (486971.8556855318 4422510.6889146175),Workplace,0,None,None
450,1,2025-07-02T13:05:00.000,AtWork,9,2025-07-02T13:10:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-02T13:10:00.000,2025-07-02T13:30:00.000,0,0,9349.264715045063,9344.548410709203,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
450,0,2025-07-02T13:05:00.000,AtWork,9,2025-07-02T13:10:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-02T13:10:00.000,2025-07-02T13:30:00.000,0,0,8984.267437081082,8979.551132745222,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
453,0,2025-07-02T13:30:00.000,AtRestaurant,11,2025-07-02T13:35:00.000,9,AtWork,9,AtWork,Coming Back From Restaurant,2025-07-02T13:35:00.000,2025-07-02T13:45:00.000,0,0,8979.551132745222,8996.217799411888,POINT (486971.8556855318 4422510.6889146175),Workplace,0,None,None
455,0,2025-07-02T13:45:00.000,AtWork,9,2025-07-02T13:50:00.000,3,AtHome,3,AtHome,Work/Home Commute,2025-07-02T13:50:00.000,2025-07-02T13:55:00.000,0,0,8996.217799411888,8996.217799411888,POINT (485547.33905596414 4421526.153604189),Apartment,0,None,None
463,1,2025-07-02T13:30:00.000,AtRestaurant,11,2025-07-02T13:35:00.000,9,AtWork,9,AtWork,Coming Back From Restaurant,2025-07-02T13:35:00.000,2025-07-02T14:35:00.000,0,0,9344.548410709203,9444.548410709203,POINT (486971.8556855318 4422510.6889146175),Workplace,0,None,None
464,2,2025-07-02T10:00:00.000,AtRestaurant,11,2025-07-02T10:05:00.000,9,AtWork,9,AtWork,Coming Back From Restaurant,2025-07-02T10:05:00.000,2025-07-02T14:40:00.000,0,0,9411.048356611402,9869.381689944736,POINT (486971.8556855318 4422510.6889146175),Workplace,0,None,None
465,1,2025-07-02T14:35:00.000,AtWork,9,2025-07-02T14:40:00.000,2,AtHome,2,AtHome,Work/Home Commute,2025-07-02T14:40:00.000,2025-07-02T14:45:00.000,0,0,9444.548410709203,9444.548410709203,POINT (487038.28498915996 4420353.145806744),Apartment,0,None,None
486,3,2025-07-02T08:25:00.000,AtRestaurant,11,2025-07-02T08:30:00.000,0,AtHome,0,AtHome,Coming Back From Restaurant,2025-07-02T08:30:00.000,2025-07-02T16:30:00.000,0,0,10590.609747196373,10590.609747196373,POINT (483386.13406596635 4420756.4680047715),Apartment,0,None,None
486,0,2025-07-02T13:55:00.000,AtHome,3,2025-07-02T14:00:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-02T14:00:00.000,2025-07-02T16:30:00.000,0,0,8996.217799411888,8967.048631590354,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
488,0,2025-07-02T16:30:00.000,AtRecreation,10,2025-07-02T16:35:00.000,3,AtHome,3,AtHome,Going Back to Home,2025-07-02T16:35:00.000,2025-07-02T16:40:00.000,0,0,8967.048631590354,8967.048631590354,POINT (485547.33905596414 4421526.153604189),Apartment,0,None,None
491,3,2025-07-02T16:30:00.000,AtHome,0,2025-07-02T16:35:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-02T16:35:00.000,2025-07-02T16:55:00.000,0,0,10590.609747196373,10585.893442860513,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
494,1,2025-07-02T14:45:00.000,AtHome,2,2025-07-02T14:50:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-02T14:50:00.000,2025-07-02T17:10:00.000,0,0,9444.548410709203,9417.323854075772,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
496,1,2025-07-02T17:10:00.000,AtRecreation,10,2025-07-02T17:15:00.000,2,AtHome,2,AtHome,Going Back to Home,2025-07-02T17:15:00.000,2025-07-02T17:20:00.000,0,0,9417.323854075772,9417.323854075772,POINT (487038.28498915996 4420353.145806744),Apartment,0,None,None
506,4,2025-07-02T08:25:00.000,AtRestaurant,11,2025-07-02T08:35:00.000,0,AtHome,0,AtHome,Coming Back From Restaurant,2025-07-02T08:35:00.000,2025-07-02T18:10:00.000,0,0,10501.9488763383,10501.9488763383,POINT (483427.58001767774 4420738.353228444),Apartment,0,None,None
512,4,2025-07-02T18:10:00.000,AtHome,0,2025-07-02T18:20:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-02T18:20:00.000,2025-07-02T18:40:00.000,0,0,10501.9488763383,10497.23257200244,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
513,0,2025-07-02T16:40:00.000,AtHome,3,2025-07-02T16:45:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-02T16:45:00.000,2025-07-02T18:45:00.000,0,0,8967.048631590354,8943.713297333128,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
515,1,2025-07-02T17:20:00.000,AtHome,2,2025-07-02T17:25:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-02T17:25:00.000,2025-07-02T18:55:00.000,0,0,9417.323854075772,9399.822353382851,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
515,0,2025-07-02T18:45:00.000,AtRecreation,10,2025-07-02T18:50:00.000,3,AtHome,3,AtHome,Going Back to Home,2025-07-02T18:50:00.000,2025-07-02T18:55:00.000,0,0,8943.713297333128,8943.713297333128,POINT (485547.33905596414 4421526.153604189),Apartment,0,None,None
520,1,2025-07-02T18:55:00.000,AtRecreation,10,2025-07-02T19:00:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-02T19:00:00.000,2025-07-02T19:20:00.000,0,0,9399.822353382851,9395.106049046992,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
525,0,2025-07-02T18:55:00.000,AtHome,3,2025-07-02T19:00:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-02T19:00:00.000,2025-07-02T19:45:00.000,0,0,8943.713297333128,8934.962546986668,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
525,1,2025-07-02T19:20:00.000,AtRestaurant,11,2025-07-02T19:25:00.000,10,AtRecreation,10,AtRecreation,Coming Back From Restaurant,2025-07-02T19:25:00.000,2025-07-02T19:45:00.000,0,0,9395.106049046992,9391.216826670787,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
527,1,2025-07-02T19:45:00.000,AtRecreation,10,2025-07-02T19:50:00.000,2,AtHome,2,AtHome,Going Back to Home,2025-07-02T19:50:00.000,2025-07-02T19:55:00.000,0,0,9391.216826670787,9391.216826670787,POINT (487038.28498915996 4420353.145806744),Apartment,0,None,None
530,0,2025-07-02T19:45:00.000,AtRecreation,10,2025-07-02T19:50:00.000,11,AtRestaurant,11,AtRestaurant,Eating,2025-07-02T19:50:00.000,2025-07-02T20:10:00.000,0,0,8934.962546986668,8930.246242650808,POINT (483834.4909161149 4422719.660534676),Restaurant,0,None,None
535,0,2025-07-02T20:10:00.000,AtRestaurant,11,2025-07-02T20:15:00.000,10,AtRecreation,10,AtRecreation,Coming Back From Restaurant,2025-07-02T20:15:00.000,2025-07-02T20:35:00.000,0,0,8930.246242650808,8926.357020274603,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
537,0,2025-07-02T20:35:00.000,AtRecreation,10,2025-07-02T20:40:00.000,3,AtHome,3,AtHome,Going Back to Home,2025-07-02T20:40:00.000,2025-07-02T20:45:00.000,0,0,8926.357020274603,8926.357020274603,POINT (485547.33905596414 4421526.153604189),Apartment,0,None,None
541,1,2025-07-02T19:55:00.000,AtHome,2,2025-07-02T20:00:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-02T20:00:00.000,2025-07-02T21:05:00.000,0,0,9391.216826670787,9378.576853948121,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
543,1,2025-07-02T21:05:00.000,AtRecreation,10,2025-07-02T21:10:00.000,2,AtHome,2,AtHome,Going Back to Home,2025-07-02T21:10:00.000,2025-07-02T21:15:00.000,0,0,9378.576853948121,9378.576853948121,POINT (487038.28498915996 4420353.145806744),Apartment,0,None,None
564,1,2025-07-02T21:15:00.000,AtHome,2,2025-07-02T21:20:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-02T21:20:00.000,2025-07-02T23:00:00.000,0,0,9378.576853948121,9359.130742067098,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
565,0,2025-07-02T20:45:00.000,AtHome,3,2025-07-02T20:50:00.000,10,AtRecreation,10,AtRecreation,Recreation (Social Gathering),2025-07-02T20:50:00.000,2025-07-02T23:05:00.000,0,0,8926.357020274603,8900.104769235222,POINT (486194.0125563806 4421348.554417097),Pub,0,None,None
