id	location	buildingType	attractivenessPercentile	attractiveness	totalPersonCapacity	totalRoomCapacity	units	neighborhoodId	blockId	blockGroupId	censusTractId	
1	LINESTRING (487201.2021325023 4422099.940527676, 487211.70640596305 4422098.258052904, 487212.0508923263 4422099.92231922, 487226.6541857662 4422097.4560620105, 487225.1013126372 4422088.357515931, 487222.96647094266 4422088.805052603, 487210.41276505915 4422090.934908677, 487211.0161292574 4422094.152595198, 487200.5970872646 4422095.723938153, 487199.82082180446 4422091.2856569905, 487199.0445554561 4422086.847375939, 487188.0281014831 4422088.75270818, 487186.56228320743 4422080.6529301, 487176.0578041443 4422082.22445013, 487177.35297317797 4422090.435502941, 487167.6173200155 4422092.005741388, 487168.3939778488 4422096.665997928, 487169.0842773056 4422100.771451845, 487158.83647329506 4422102.564542965, 487158.14635546 4422098.570079257, 487143.03092043655 4422101.259310895, 487144.67006099096 4422110.801653825, 487159.87108781864 4422108.223270762, 487159.4406062732 4422106.226182738, 487169.68840549357 4422104.433092409, 487170.0336480338 4422106.541314091, 487201.46063872345 4422101.271969043, 487201.2021325023 4422099.940527676)	Residental	1.0	0.03842542228999002	0	0	[]	0	0	0	0	
2	LINESTRING (486469.75523159385 4423226.306997629, 486462.67820113315 4423185.031341671, 486404.01716823713 4423194.347942977, 486410.7524700662 4423235.4021761045, 486469.75523159385 4423226.306997629)	Residental	1.0	0.6342740653212939	0	0	[]	0	0	0	0	
3	LINESTRING (486454.57970721164 4423145.755327546, 486451.29617562477 4423124.451115327, 486416.62826598965 4423129.729358636, 486419.9973039312 4423151.03340411, 486454.57970721164 4423145.755327546)	Residental	1.0	0.9589492693848134	0	0	[]	0	0	0	0	
4	LINESTRING (483114.4355235863 4422518.782937308, 483143.0404907928 4422514.058036645, 483142.0009807869 4422507.511927809, 483139.75111752085 4422494.420088671, 483111.23149744945 4422499.144812025, 483114.4355235863 4422518.782937308)	Commercial	1.0	0.6527903111111634	0	0	[]	0	0	0	0	
5	LINESTRING (483126.1491440082 4422601.000567416, 483179.68627370603 4422591.892032235, 483178.041039976 4422581.795575511, 483176.1395475558 4422571.699684964, 483168.28352953 4422572.826930846, 483124.7362564886 4422580.137579022, 483122.43095226766 4422580.58664379, 483123.5551502565 4422586.799593261, 483126.1491440082 4422601.000567416)	Commercial	1.0	0.6350588673548327	0	0	[]	0	0	0	0	
6	LINESTRING (483158.18579481397 4422564.524990363, 483179.2769924865 4422561.25970215, 483170.26482139085 4422503.009864203, 483148.5755339105 4422506.276498608, 483152.0406239661 4422528.133861554, 483135.3896392467 4422530.723458085, 483136.863366323 4422540.487314715, 483154.11201450747 4422537.785410209, 483158.18579481397 4422564.524990363)	Commercial	1.0	0.9952995725439239	0	0	[]	0	0	0	0	
7	LINESTRING (483120.6553614323 4422434.527777333, 483118.86228557525 4422434.8647184875, 483117.06896401825 4422435.090670653, 483118.3674679011 4422442.857091378, 483133.56650571333 4422440.270672005, 483133.22040603374 4422438.27361872, 483132.9607083448 4422436.720334063, 483155.6739973935 4422432.896443644, 483153.0782865567 4422417.9185372945, 483118.83745664154 4422423.654787999, 483120.6553614323 4422434.527777333)	Commercial	1.0	0.5818503238751233	0	0	[]	0	0	0	0	
8	LINESTRING (483148.65900898253 4422466.763887264, 483159.33274544176 4422465.075445511, 483159.07182771113 4422462.967212839, 483161.37741487555 4422462.62914877, 483157.39171167085 4422437.11026578, 483145.6931462426 4422438.911966153, 483148.55174898234 4422456.886018105, 483145.3924572394 4422457.44795383, 483146.6045275431 4422464.770610773, 483148.3124236019 4422464.544854394, 483148.65900898253 4422466.763887264)	Residental	1.0	0.41436859170065476	0	0	[]	0	0	0	0	
9	LINESTRING (483124.9804588265 4422381.7979731, 483147.35271743895 4422378.196794025, 483143.5421848159 4422354.675352756, 483058.92048932146 4422368.403746637, 483064.0298430994 4422399.6915580435, 483079.6562961674 4422397.215071916, 483078.5312963266 4422390.6691623395, 483086.89951809135 4422389.318708665, 483085.16796039377 4422378.889496001, 483123.4227415563 4422372.700246587, 483124.9804588265 4422381.7979731)	Commercial	1.0	0.4746975041095255	0	0	[]	0	0	0	0	
10	LINESTRING (483514.2398684587 4422538.551767493, 483532.17247815855 4422536.071219773, 483531.30462239444 4422529.746668381, 483517.45000653755 4422522.007322945, 483516.75705528806 4422517.569223991, 483514.53328717395 4422516.242154511, 483511.202916276 4422516.693318757, 483509.92571747245 4422518.582911054, 483508.4740794318 4422518.808031917, 483510.2062277359 4422529.792288224, 483512.8573257119 4422531.229421951, 483513.5449960403 4422533.225753327, 483514.2398684587 4422538.551767493)	Commercial	1.0	0.6235100948657033	0	0	[]	0	0	0	0	
11	LINESTRING (483537.12945910793 4422497.768981913, 483556.00082300964 4422494.842503508, 483554.5307383166 4422486.521430569, 483565.5462103709 4422484.832820594, 483560.5210394322 4422451.990639503, 483547.28533391963 4422454.017018707, 483547.7177020984 4422456.457863749, 483533.1157768346 4422458.70919681, 483532.855921577 4422457.044909326, 483520.3033471213 4422458.958869611, 483525.06931108335 4422490.358716584, 483535.48707761575 4422488.782345077, 483537.12945910793 4422497.768981913)	Commercial	1.0	0.3380076156612506	0	0	[]	0	0	0	0	
12	LINESTRING (483591.3467160105 4422446.929665232, 483612.8640846681 4422442.998723162, 483608.1094349652 4422416.7043371005, 483586.59175533557 4422420.52430281, 483591.3467160105 4422446.929665232)	Commercial	1.0	0.6747523196984766	0	0	[]	0	0	0	0	
13	LINESTRING (483599.0073313315 4422473.994717757, 483614.2064649596 4422471.409257069, 483613.8604926879 4422469.412182258, 483617.95918649813 4422468.73743169, 483618.21878421406 4422470.290732636, 483630.6000483942 4422468.155321701, 483626.9668974837 4422446.96405087, 483613.4756235463 4422449.323833769, 483613.9943447253 4422452.208456468, 483612.6281105229 4422452.433373776, 483612.0232533917 4422449.215966613, 483604.679802592 4422450.452649263, 483604.247213581 4422447.900811658, 483594.7689918692 4422449.475066308, 483599.0073313315 4422473.994717757)	Residental	1.0	0.3172017356482587	0	0	[]	0	0	0	0	
14	LINESTRING (483647.1085945539 4422478.6639253525, 483650.13588514447 4422496.19383859, 483624.434074501 4422500.577625777, 483626.64876708353 4422497.687129431, 483615.6108719859 4422488.942646098, 483612.714499325 4422492.611540802, 483611.24399886525 4422484.068478313, 483593.655068548 4422487.547008542, 483595.90104778943 4422499.196116684, 483621.56751666433 4422518.120194473, 483664.7753580335 4422511.47905724, 483659.57503419643 4422476.417388755, 483647.1085945539 4422478.6639253525)	Commercial	1.0	0.7783454834905618	0	0	[]	0	0	0	0	
