Timestep	VariableName	EntityIdx	Value	Notes
0	avgNetworkDegree		0.0	
0	avgBalance		9208.450108618339	
0	numOfSocialInteractions		0.0	
0	percentageUnhappy		100.0	
0	pubVisitPerAgent		0.0	
288	percentageUnhappy		80.0	
288	avgNetworkDegree		1.2	
288	avgBalance		9516.85760905596	
288	numOfSocialInteractions		23.0	
288	pubVisitPerAgent		3.4	
576	percentageUnhappy		80.0	
576	avgNetworkDegree		1.2	
576	avgBalance		9840.770798746762	
576	pubVisitPerAgent		2.2	
576	numOfSocialInteractions		8.0	
864	numOfSocialInteractions		10.0	
864	percentageUnhappy		80.0	
864	pubVisitPerAgent		2.4	
864	avgNetworkDegree		1.2	
864	avgBalance		10161.882838209021	
1152	numOfSocialInteractions		11.0	
1152	avgBalance		10482.85161680411	
1152	percentageUnhappy		80.0	
1152	pubVisitPerAgent		2.4	
1152	avgNetworkDegree		1.2	
1440	avgNetworkDegree		1.2	
1440	pubVisitPerAgent		2.6	
1440	numOfSocialInteractions		12.0	
1440	avgBalance		10418.133960936528	
1440	percentageUnhappy		80.0	
1728	percentageUnhappy		80.0	
1728	avgNetworkDegree		1.2	
1728	avgBalance		10347.263454357793	
1728	pubVisitPerAgent		3.2	
1728	numOfSocialInteractions		10.0	
2016	percentageUnhappy		80.0	
2016	avgNetworkDegree		1.2	
2016	avgBalance		10668.815616309312	
2016	pubVisitPerAgent		2.6	
2016	numOfSocialInteractions		11.0	
2304	numOfSocialInteractions		8.0	
2304	percentageUnhappy		80.0	
2304	avgNetworkDegree		1.2	
2304	avgBalance		10989.344272415143	
2304	pubVisitPerAgent		2.2	
2592	numOfSocialInteractions		11.0	
2592	pubVisitPerAgent		2.6	
2592	percentageUnhappy		80.0	
2592	avgBalance		11310.896434366663	
2592	avgNetworkDegree		1.2	
2880	avgNetworkDegree		1.2	
2880	numOfSocialInteractions		9.0	
2880	avgBalance		11630.544845493974	
2880	pubVisitPerAgent		2.2	
2880	percentageUnhappy		80.0	
