Timestep	VariableName	EntityIdx	Value	Notes
0	avgNetworkDegree		0.1884	
0	avgBalance		8850.615668651093	
0	numOfSocialInteractions		0.0	
0	percentageUnhappy		99.18	
0	pubVisitPerAgent		0.0	
288	percentageUnhappy		76.48	
288	avgNetworkDegree		1.5862	
288	avgBalance		9348.472768244119	
288	numOfSocialInteractions		5733.0	
288	pubVisitPerAgent		5.1074	
576	percentageUnhappy		69.8	
576	avgNetworkDegree		2.1508	
576	avgBalance		9862.655452627876	
576	pubVisitPerAgent		3.936	
576	numOfSocialInteractions		3954.0	
864	numOfSocialInteractions		4155.0	
864	percentageUnhappy		66.26	
864	pubVisitPerAgent		3.6464	
864	avgNetworkDegree		2.6206	
864	avgBalance		10380.603052300388	
1152	numOfSocialInteractions		4570.0	
1152	avgBalance		10901.724741421369	
1152	percentageUnhappy		62.28	
1152	pubVisitPerAgent		3.4332	
1152	avgNetworkDegree		3.0968	
1440	avgNetworkDegree		3.8234	
1440	pubVisitPerAgent		4.8342	
1440	numOfSocialInteractions		7455.0	
1440	avgBalance		10907.414430380391	
1440	percentageUnhappy		53.46	
1728	percentageUnhappy		48.52	
1728	avgNetworkDegree		4.4644	
1728	avgBalance		10924.527594488238	
1728	pubVisitPerAgent		4.1136	
1728	numOfSocialInteractions		6401.0	
2016	percentageUnhappy		48.92	
2016	avgNetworkDegree		4.848	
2016	avgBalance		11458.431239705766	
2016	pubVisitPerAgent		2.484	
2016	numOfSocialInteractions		4181.0	
2304	numOfSocialInteractions		4821.0	
2304	percentageUnhappy		48.2	
2304	avgNetworkDegree		5.3044	
2304	avgBalance		11990.58545430076	
2304	pubVisitPerAgent		2.5114	
2592	numOfSocialInteractions		5626.0	
2592	pubVisitPerAgent		2.441	
2592	percentageUnhappy		44.88	
2592	avgBalance		12526.932185084	
2592	avgNetworkDegree		5.8358	
2880	avgNetworkDegree		6.3492	
2880	numOfSocialInteractions		5514.0	
2880	avgBalance		13064.470599260943	
2880	pubVisitPerAgent		2.2882	
2880	percentageUnhappy		40.56	
